ts_code,name,start_date,end_date,ann_date,change_reason
688192.SH,迪哲医药,20211130,,,其他
301100.SZ,风光股份,20211130,,,其他
301221.SZ,光庭信息,20211130,,,其他
001317.SZ,三羊马,20211130,,,其他
688049.SH,炬芯科技,20211129,,,其他
301193.SZ,家联科技,20211129,,,其他
301101.SZ,明月镜片,20211129,,,其他
301168.SZ,通灵股份,20211129,,,其他
688049.SH,炬芯科技-U,20211129,,,其他
301096.SZ,百诚医药,20211126,,,其他
688190.SH,云路股份,20211126,,,其他
603071.SH,物产环能,20211126,,,其他
301133.SZ,金钟股份,20211126,,,其他
600935.SH,华塑股份,20211126,,,其他
301177.SZ,迪阿股份,20211126,,,其他
301179.SZ,泽宇智能,20211126,,,其他
301126.SZ,达嘉维康,20211125,,,其他
688246.SH,嘉和美康,20211125,,,其他
301111.SZ,粤万年青,20211125,,,其他
301199.SZ,迈赫股份,20211125,,,其他
301138.SZ,华研精机,20211125,,,其他
688235.SH,百济神州,20211124,,,其他
301155.SZ,海力风电,20211124,,,其他
301167.SZ,建研设计,20211124,,,其他
688151.SH,华强科技,20211124,,,其他
300489.SZ,光智科技,20211124,,20211124,改名
836720.BJ,吉冈精密,20211124,,,其他
688110.SH,东芯股份,20211123,,,其他
603398.SH,沐邦高科,20211123,,20211118,改名
688192.SH,迪哲医药,20211123,,,其他
301167.SZ,建研设计,20211123,,,其他
603216.SH,梦天家居,20211123,,,其他
603230.SH,内蒙新华,20211123,,,其他
001296.SZ,长江材料,20211123,,,其他
301108.SZ,洁雅股份,20211122,,,其他
301119.SZ,正强股份,20211122,,,其他
603219.SH,富佳股份,20211122,,,其他
301099.SZ,雅创电子,20211122,,,其他
301193.SZ,家联科技,20211122,,,其他
301168.SZ,通灵股份,20211122,,,其他
301198.SZ,喜悦智行,20211122,,,其他
688112.SH,鼎阳科技,20211119,,,其他
688230.SH,芯导科技,20211119,,,其他
301213.SZ,观想科技,20211119,,,其他
301185.SZ,鸥玛软件,20211119,,,其他
688075.SH,安旭生物,20211118,,,其他
600856.SH,*ST中天,20211118,,20211117,*ST
301118.SZ,恒光股份,20211118,,,其他
301199.SZ,迈赫股份,20211118,,,其他
688082.SH,盛美上海,20211118,,,其他
002128.SZ,电投能源,20211118,,20211118,改名
301213.SZ,观想科技,20211118,,,其他
301179.SZ,泽宇智能,20211118,,,其他
600279.SH,重庆港,20211117,,20211113,改名
001317.SZ,三羊马,20211117,,,其他
688049.SH,炬芯科技,20211117,,,其他
301111.SZ,粤万年青,20211117,,,其他
001267.SZ,汇绿生态,20211117,,20211111,ST
688232.SH,新点软件,20211117,,,其他
688151.SH,华强科技,20211117,,,其他
603230.SH,内蒙新华,20211116,,,其他
688182.SH,灿勤科技,20211116,,,其他
600927.SH,永安期货,20211116,,,其他
001296.SZ,长江材料,20211116,,,其他
603048.SH,浙江黎明,20211116,,,其他
301180.SZ,万祥科技,20211116,,,其他
600935.SH,华塑股份,20211116,,,其他
832171.BJ,志晟信息,20211115,,,其他
301198.SZ,喜悦智行,20211115,,,其他
688212.SH,澳华内镜,20211115,,,其他
301108.SZ,洁雅股份,20211115,,,其他
301126.SZ,达嘉维康,20211115,,,其他
831832.BJ,科达自控,20211115,,,其他
833454.BJ,同心传动,20211115,,,其他
833873.BJ,中设咨询,20211115,,,其他
837092.BJ,汉鑫科技,20211115,,,其他
688105.SH,诺唯赞,20211115,,,其他
688190.SH,云路股份,20211115,,,其他
832145.BJ,恒合股份,20211115,,,其他
836260.BJ,中寰股份,20211115,,,其他
839680.BJ,广道高新,20211115,,,其他
871981.BJ,晶赛科技,20211115,,,其他
870436.BJ,大地电气,20211115,,,其他
301155.SZ,海力风电,20211112,,,其他
301178.SZ,天亿马,20211112,,,其他
688112.SH,鼎阳科技,20211112,,,其他
301098.SZ,金埔园林,20211112,,,其他
688107.SH,安路科技,20211112,,,其他
688107.SH,安路科技-U,20211112,,,其他
301188.SZ,力诺特玻,20211111,,,其他
002420.SZ,毅昌科技,20211111,,20211111,其他
002201.SZ,正威新材,20211111,,20211111,改名
603213.SH,镇洋发展,20211111,,,其他
301149.SZ,隆华新材,20211110,,,其他
603219.SH,富佳股份,20211110,,,其他
688049.SH,炬芯科技,20211110,,,其他
301128.SZ,强瑞技术,20211110,,,其他
688162.SH,巨一科技,20211110,,,其他
301119.SZ,正强股份,20211109,,,其他
600935.SH,华塑股份,20211109,,,其他
600927.SH,永安期货,20211109,,,其他
832089.BJ,禾昌聚合,20211109,,,其他
301185.SZ,鸥玛软件,20211108,,,其他
688190.SH,云路股份,20211108,,,其他
688230.SH,芯导科技,20211108,,,其他
688075.SH,安旭生物,20211105,,,其他
688232.SH,新点软件,20211105,,,其他
688082.SH,盛美上海,20211105,,,其他
301099.SZ,雅创电子,20211105,,,其他
301155.SZ,海力风电,20211105,,,其他
831305.BJ,海希通讯,20211105,,,其他
