ts_code,name,area,fullname,enname,cnspell,market,list_date
000565.SZ,渝三峡A,重庆,重庆三峡油漆股份有限公司,"Chongqing Sanxia Paints Co.,Ltd.",ysxa,主板,19940408
000566.SZ,海南海药,海南,海南海药股份有限公司,"Hainan Haiyao Co.,Ltd.",hnhy,主板,19940525
000567.SZ,海德股份,海南,海南海德资本管理股份有限公司,"Hainan Haide Capital Management Co.,Ltd.",hdgf,主板,19940525
000568.SZ,泸州老窖,四川,泸州老窖股份有限公司,"Luzhou Laojiao Co.,Ltd",lzlj,主板,19940509
000570.SZ,苏常柴A,江苏,常柴股份有限公司,"Changchai Company,Limited",scca,主板,19940701
000571.SZ,ST大洲,海南,新大洲控股股份有限公司,"Sundiro Holding Co.,Ltd.",stdz,主板,19940525
000572.SZ,海马汽车,海南,海马汽车股份有限公司,"Haima Automobile Co.,Ltd.",hmqc,主板,19940808
000573.SZ,粤宏远A,广东,东莞宏远工业区股份有限公司,DongGuan Winnerway Industry Zone LTD.,yhya,主板,19940815
000576.SZ,甘化科工,广东,广东甘化科工股份有限公司,"Guangdong Ganhua Science & Industry Co., Ltd.",ghkg,主板,19940907
000581.SZ,威孚高科,江苏,无锡威孚高科技集团股份有限公司,"Weifu High-Technology Group Co.,Ltd.",wfgk,主板,19980924
000582.SZ,北部湾港,广西,北部湾港股份有限公司,"Beibu Gulf Port Co., Ltd.",bbwg,主板,19951102
000584.SZ,哈工智能,江苏,江苏哈工智能机器人股份有限公司,"Jiangsu Hagong Intelligent Robot Co.,Ltd",hgzn,主板,19951128
000585.SZ,*ST东电,海南,东北电气发展股份有限公司,Northeast Electric Development Company Limited,stdd,主板,19951213
000586.SZ,汇源通信,四川,四川汇源光通信股份有限公司,"Sichuan Huiyuan Optical Communications Co.,Ltd.",hytx,主板,19951220
000587.SZ,*ST金洲,黑龙江,金洲慈航集团股份有限公司,"Jinzhou Cihang Group Co., Ltd",stjz,主板,19960425
000589.SZ,贵州轮胎,贵州,贵州轮胎股份有限公司,"Guizhou Tyre Co.,Ltd.",gzlt,主板,19960308
000590.SZ,启迪药业,湖南,启迪药业集团股份公司,"Tus-Pharmaceutical Group Co., Ltd.",qdyy,主板,19960119
000591.SZ,太阳能,重庆,中节能太阳能股份有限公司,"Cecep Solar Energy Co.,Ltd.",tyn,主板,19960208
000592.SZ,平潭发展,福建,中福海峡(平潭)发展股份有限公司,Zhongfu Straits (Pingtan) Development Company Limited,ptfz,主板,19960327
